Attitude.Acc.X,EscFeedbackLeft.Rpm,Attitude.Filtered.Yaw,MotorSetpoint.Rmotor,Attitude.Mag.X,Attitude.Mag.Z,RC_channel.[4],RC_channel.[6],Debug.[0],RC_channel.[11],Attitude.Mag.Y,EscFeedbackLeft.Current,ActuatorsCommand.Left.Speed,Debug.[2],Attitude.Filtered.Pitch,ActuatorsCommand.Left.Newtons,RCN.[2],Status.CycleTime,Data.Position.[0],Attitude.Filtered.Roll,RC_channel.[8],EscFeedbackRight.Voltage,Status.Flag,Attitude.Acc.Y,Comp_gps.Dist,EscFeedbackRight.Current,RCN.[1],ServoAngle.RServoAngle,EscFeedbackRight.Rpm,ServoAngle.LServoAngle,RC_channel.[9],Comp_gps.Update,Data.rpy.[2],Altitude.Alt,Data.rpy.[1],Altitude.Vario,Data.Velocity.[0],Data.drpy.[0],RC_channel.[0],ActuatorsCommand.Right.Servo,RC_channel.[2],Data.drpy.[2],Comp_gps.Direction,Debug.[3],Analog.Vbat,GPS.Veloc,GPS.Lat,Attitude.Acc.Z,RC_channel.[5],GPS.Fix,Debug.[1],Attitude.Gyro.X,Attitude.Gyro.Y,Attitude.Gyro.Z,Data.Velocity.[1],Status.Sensor,ActuatorsCommand.Left.Servo,RC_channel.[10],ActuatorsCommand.Right.Speed,GPS.Numsats,Analog.Rssi,Data.Position.[2],RCN.[3],Data.rpy.[0],GPS.Alt,Status.Numi2cerror,MotorSetpoint.Lmotor,RCN.[0],Data.Position.[1],RCN.[4],ActuatorsCommand.Right.Newtons,RCN.[6],GPS.GGC,GPS.Long,RC_channel.[7],Data.drpy.[1],RC_channel.[1],EscFeedbackLeft.Voltage,RCN.[5],Data.Velocity.[2],Analog.Current,Analog.Power,RC_channel.[3],Status.Gccs
1,123,-1780,12,7,9,1500,300,1,400,8,1.100000023841858,3.299999952316284,3,-178,1.100000023841858,12,0,7.699999809265137,-178,600,4.400000095367432,0,2,1088,2.200000047683716,-12,-5,321,5,700,1,3.299999952316284,666,2.200000047683716,333,10.100000381469727,4.400000095367432,600,137.0,1000,6.599999904632568,-172,4,15,10900,23,3,800,1,2,4,5,6,11.109999656677246,0,128.0,100,4.400000095367432,5,1088,9.899999618530273,-12,1.100000023841858,1090,0,12,12,8.800000190734863,44,2.200000047683716,44,0,24,400,5.5,700,3.299999952316284,98,12.119999885559082,1234,0,1700,111
1,123,-1770,12,7,9,1500,300,1,400,8,1.100000023841858,3.299999952316284,3,-177,1.100000023841858,10,0,7.699999809265137,-177,600,4.400000095367432,0,2,1090,2.200000047683716,-10,-5,321,5,700,1,3.299999952316284,666,2.200000047683716,333,10.100000381469727,4.400000095367432,600,137.0,1000,6.599999904632568,-170,4,15,10920,23,3,800,1,2,4,5,6,11.109999656677246,0,128.0,100,4.400000095367432,5,1090,9.899999618530273,-10,1.100000023841858,1092,0,12,10,8.800000190734863,45,2.200000047683716,45,0,24,400,5.5,700,3.299999952316284,41,12.119999885559082,1234,0,1700,111
1,123,-1760,12,7,9,1500,300,1,400,8,1.100000023841858,3.299999952316284,3,-176,1.100000023841858,8,0,7.699999809265137,-176,600,4.400000095367432,0,2,1092,2.200000047683716,-8,-5,321,5,700,1,3.299999952316284,666,2.200000047683716,333,10.100000381469727,4.400000095367432,600,137.0,1000,6.599999904632568,-168,4,15,10940,23,3,800,1,2,4,5,6,11.109999656677246,0,128.0,100,4.400000095367432,5,1092,9.899999618530273,-8,1.100000023841858,1094,0,12,8,8.800000190734863,46,2.200000047683716,46,0,24,400,5.5,700,3.299999952316284,41,12.119999885559082,1234,0,1700,111
1,123,-1750,12,7,9,1500,300,1,400,8,1.100000023841858,3.299999952316284,3,-175,1.100000023841858,6,0,7.699999809265137,-175,600,4.400000095367432,0,2,1094,2.200000047683716,-6,-5,321,5,700,1,3.299999952316284,666,2.200000047683716,333,10.100000381469727,4.400000095367432,600,137.0,1000,6.599999904632568,-166,4,15,10960,23,3,800,1,2,4,5,6,11.109999656677246,0,128.0,100,4.400000095367432,5,1094,9.899999618530273,-6,1.100000023841858,1096,0,12,6,8.800000190734863,47,2.200000047683716,47,0,24,400,5.5,700,3.299999952316284,41,12.119999885559082,1234,0,1700,111
1,123,-1740,12,7,9,1500,300,1,400,8,1.100000023841858,3.299999952316284,3,-174,1.100000023841858,4,0,7.699999809265137,-174,600,4.400000095367432,0,2,1096,2.200000047683716,-4,-5,321,5,700,1,3.299999952316284,666,2.200000047683716,333,10.100000381469727,4.400000095367432,600,137.0,1000,6.599999904632568,-164,4,15,10980,23,3,800,1,2,4,5,6,11.109999656677246,0,128.0,100,4.400000095367432,5,1096,9.899999618530273,-4,1.100000023841858,1098,0,12,4,8.800000190734863,48,2.200000047683716,48,0,24,400,5.5,700,3.299999952316284,41,12.119999885559082,1234,0,1700,111
1,123,-1730,12,7,9,1500,300,1,400,8,1.100000023841858,3.299999952316284,3,-173,1.100000023841858,2,0,7.699999809265137,-173,600,4.400000095367432,0,2,1098,2.200000047683716,-2,-5,321,5,700,1,3.299999952316284,666,2.200000047683716,333,10.100000381469727,4.400000095367432,600,137.0,1000,6.599999904632568,-162,4,15,11000,23,3,800,1,2,4,5,6,11.109999656677246,0,128.0,100,4.400000095367432,5,1098,9.899999618530273,-2,1.100000023841858,1100,0,12,2,8.800000190734863,49,2.200000047683716,49,0,24,400,5.5,700,3.299999952316284,41,12.119999885559082,1234,0,1700,111
1,123,-1720,12,7,9,1500,300,1,400,8,1.100000023841858,3.299999952316284,3,-172,1.100000023841858,-2,0,7.699999809265137,-172,600,4.400000095367432,0,2,1100,2.200000047683716,2,-5,321,5,700,1,3.299999952316284,666,2.200000047683716,333,10.100000381469727,4.400000095367432,600,137.0,1000,6.599999904632568,-160,4,15,11020,23,3,800,1,2,4,5,6,11.109999656677246,0,128.0,100,4.400000095367432,5,1100,9.899999618530273,2,1.100000023841858,1102,0,12,-2,8.800000190734863,50,2.200000047683716,50,0,24,400,5.5,700,3.299999952316284,-54,12.119999885559082,1234,0,1700,111
1,123,-1710,12,7,9,1500,300,1,400,8,1.100000023841858,3.299999952316284,3,-171,1.100000023841858,-4,0,7.699999809265137,-171,600,4.400000095367432,0,2,1102,2.200000047683716,4,-5,321,5,700,1,3.299999952316284,666,2.200000047683716,333,10.100000381469727,4.400000095367432,600,137.0,1000,6.599999904632568,-158,4,15,11040,23,3,800,1,2,4,5,6,11.109999656677246,0,128.0,100,4.400000095367432,5,1102,9.899999618530273,4,1.100000023841858,1104,0,12,-4,8.800000190734863,51,2.200000047683716,51,0,24,400,5.5,700,3.299999952316284,-54,12.119999885559082,1234,0,1700,111
1,123,-1700,12,7,9,1500,300,1,400,8,1.100000023841858,3.299999952316284,3,-170,1.100000023841858,-6,0,7.699999809265137,-170,600,4.400000095367432,0,2,1104,2.200000047683716,6,-5,321,5,700,1,3.299999952316284,666,2.200000047683716,333,10.100000381469727,4.400000095367432,600,137.0,1000,6.599999904632568,-156,4,15,11060,23,3,800,1,2,4,5,6,11.109999656677246,0,128.0,100,4.400000095367432,5,1104,9.899999618530273,6,1.100000023841858,1106,0,12,-6,8.800000190734863,52,2.200000047683716,52,0,24,400,5.5,700,3.299999952316284,-54,12.119999885559082,1234,0,1700,111
1,123,-1690,12,7,9,1500,300,1,400,8,1.100000023841858,3.299999952316284,3,-169,1.100000023841858,-8,0,7.699999809265137,-169,600,4.400000095367432,0,2,1106,2.200000047683716,8,-5,321,5,700,1,3.299999952316284,666,2.200000047683716,333,10.100000381469727,4.400000095367432,600,137.0,1000,6.599999904632568,-154,4,15,11080,23,3,800,1,2,4,5,6,11.109999656677246,0,128.0,100,4.400000095367432,5,1106,9.899999618530273,8,1.100000023841858,1108,0,12,-8,8.800000190734863,53,2.200000047683716,53,0,24,400,5.5,700,3.299999952316284,-54,12.119999885559082,1234,0,1700,111
1,123,-1680,12,7,9,1500,300,1,400,8,1.100000023841858,3.299999952316284,3,-168,1.100000023841858,-10,0,7.699999809265137,-168,600,4.400000095367432,0,2,1108,2.200000047683716,10,-5,321,5,700,1,3.299999952316284,666,2.200000047683716,333,10.100000381469727,4.400000095367432,600,137.0,1000,6.599999904632568,-152,4,15,11100,23,3,800,1,2,4,5,6,11.109999656677246,0,128.0,100,4.400000095367432,5,1108,9.899999618530273,10,1.100000023841858,1110,0,12,-10,8.800000190734863,54,2.200000047683716,54,0,24,400,5.5,700,3.299999952316284,-54,12.119999885559082,1234,0,1700,111
1,123,-1670,12,7,9,1500,300,1,400,8,1.100000023841858,3.299999952316284,3,-167,1.100000023841858,-12,0,7.699999809265137,-167,600,4.400000095367432,0,2,1110,2.200000047683716,12,-5,321,5,700,1,3.299999952316284,666,2.200000047683716,333,10.100000381469727,4.400000095367432,600,137.0,1000,6.599999904632568,-150,4,15,11120,23,3,800,1,2,4,5,6,11.109999656677246,0,128.0,100,4.400000095367432,5,1110,9.899999618530273,12,1.100000023841858,1112,0,12,-12,8.800000190734863,55,2.200000047683716,55,0,24,400,5.5,700,3.299999952316284,-99,12.119999885559082,1234,0,1700,111
1,123,-1660,12,7,9,1500,300,1,400,8,1.100000023841858,3.299999952316284,3,-166,1.100000023841858,-14,0,7.699999809265137,-166,600,4.400000095367432,0,2,1112,2.200000047683716,14,-5,321,5,700,1,3.299999952316284,666,2.200000047683716,333,10.100000381469727,4.400000095367432,600,137.0,1000,6.599999904632568,-148,4,15,11140,23,3,800,1,2,4,5,6,11.109999656677246,0,128.0,100,4.400000095367432,5,1112,9.899999618530273,14,1.100000023841858,1114,0,12,-14,8.800000190734863,56,2.200000047683716,56,0,24,400,5.5,700,3.299999952316284,-99,12.119999885559082,1234,0,1700,111
